"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Life.nlogo"
"2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:21:55:061 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","initial-density","wrap?","[step]","count patches with [living?] / count patches"
"4","5","false","58","0.0017645328889324577"
"5","5","false","72","0.00235271051857661"
"6","5","false","60","0.002058621703754534"
"1","5","false","62","0.00421527301244976"
"3","5","false","64","0.003921184197627684"
"4","5","false","59","0.0017645328889324577"
"6","5","false","61","0.002058621703754534"
"5","5","false","73","0.00235271051857661"
"3","5","false","65","0.003921184197627684"
"1","5","false","63","0.00421527301244976"
"2","5","false","33","0.005293598666797373"
"4","5","false","60","0.0017645328889324577"
"6","5","false","62","0.002058621703754534"
"5","5","false","74","0.00235271051857661"
"3","5","false","66","0.003921184197627684"
"1","5","false","64","0.00421527301244976"
"3","5","false","67","0.003921184197627684"
"2","5","false","34","0.005293598666797373"
"6","5","false","63","0.002058621703754534"
"5","5","false","75","0.00235271051857661"
"4","5","false","61","0.0017645328889324577"
"3","5","false","68","0.003921184197627684"
"1","5","false","65","0.00421527301244976"
"6","5","false","64","0.002058621703754534"
"2","5","false","35","0.005293598666797373"
"4","5","false","62","0.0017645328889324577"
"5","5","false","76","0.00235271051857661"
"1","5","false","66","0.00421527301244976"
"3","5","false","69","0.003921184197627684"
"6","5","false","65","0.002058621703754534"
"2","5","false","36","0.005293598666797373"
"4","5","false","63","0.0017645328889324577"
"5","5","false","77","0.00235271051857661"
"3","5","false","70","0.003921184197627684"
"1","5","false","67","0.00421527301244976"
"6","5","false","66","0.002058621703754534"
"2","5","false","37","0.005293598666797373"
"5","5","false","78","0.00235271051857661"
"4","5","false","64","0.0017645328889324577"
"2","5","false","38","0.005293598666797373"
"6","5","false","67","0.002058621703754534"
"5","5","false","79","0.00235271051857661"
"3","5","false","71","0.003921184197627684"
"4","5","false","65","0.0017645328889324577"
"6","5","false","68","0.002058621703754534"
"2","5","false","39","0.005293598666797373"
"1","5","false","68","0.00421527301244976"
"5","5","false","80","0.00235271051857661"
"3","5","false","72","0.003921184197627684"
"6","5","false","69","0.002058621703754534"
"4","5","false","66","0.0017645328889324577"
"1","5","false","69","0.00421527301244976"
"3","5","false","73","0.003921184197627684"
"2","5","false","40","0.005293598666797373"
"6","5","false","70","0.002058621703754534"
"5","5","false","81","0.00235271051857661"
"4","5","false","67","0.0017645328889324577"
"1","5","false","70","0.00421527301244976"
"3","5","false","74","0.003921184197627684"
"6","5","false","71","0.002058621703754534"
"4","5","false","68","0.0017645328889324577"
"5","5","false","82","0.00235271051857661"
"1","5","false","71","0.00421527301244976"
"3","5","false","75","0.003921184197627684"
"2","5","false","41","0.005293598666797373"
"4","5","false","69","0.0017645328889324577"
"5","5","false","83","0.00235271051857661"
"6","5","false","72","0.002058621703754534"
"1","5","false","72","0.00421527301244976"
"4","5","false","70","0.0017645328889324577"
"2","5","false","42","0.005293598666797373"
"6","5","false","73","0.002058621703754534"
