"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:17:34:557 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"run","initial-density","wrap","update-1d","step","density"
"1","5","false","false","29","0.002499279054119004"
"4","5","false","false","41","0.004614053638373546"
"2","5","false","false","40","0.014515043737383448"
"3","5","false","false","32","0.004614053638373546"
"6","5","false","false","43","0.008939728924348746"
"1","5","false","false","30","0.002499279054119004"
"2","5","false","false","41","0.016341439969239643"
"3","5","false","false","33","0.004710179755839662"
"6","5","false","false","44","0.008459098337018169"
"2","5","false","false","42","0.017014322791502452"
"3","5","false","false","34","0.004517927520907431"
"4","5","false","false","42","0.004614053638373546"
"1","5","false","false","31","0.002499279054119004"
"6","5","false","false","45","0.008555224454484284"
"2","5","false","false","43","0.019705854080553687"
"3","5","false","false","35","0.004998558108238008"
"4","5","false","false","43","0.004614053638373546"
"1","5","false","false","32","0.002499279054119004"
"6","5","false","false","46","0.007401711044890897"
"3","5","false","false","36","0.004710179755839662"
"4","5","false","false","44","0.004614053638373546"
"1","5","false","false","33","0.002499279054119004"
"2","5","false","false","44","0.017398827261366913"
"5","5","false","false","28","0.004710179755839662"
"6","5","false","false","47","0.007209458809958665"
"1","5","false","false","34","0.002499279054119004"
"3","5","false","false","37","0.005190810343170239"
"2","5","false","false","45","0.018552340670960298"
"4","5","false","false","45","0.004614053638373546"
"5","5","false","false","29","0.004710179755839662"
"6","5","false","false","48","0.007497837162357013"
"1","5","false","false","35","0.002499279054119004"
"3","5","false","false","38","0.005479188695568586"
"4","5","false","false","46","0.004614053638373546"
"5","5","false","false","30","0.004710179755839662"
"2","5","false","false","46","0.019032971258290877"
"6","5","false","false","49","0.007593963279823128"
"3","5","false","false","39","0.006152071517831394"
"1","5","false","false","36","0.002499279054119004"
"5","5","false","false","31","0.004710179755839662"
"2","5","false","false","47","0.020090358550418148"
"4","5","false","false","47","0.004614053638373546"
"6","5","false","false","50","0.007690089397289244"
"3","5","false","false","40","0.005671440930500817"
"1","5","false","false","37","0.002499279054119004"
