"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-Life.nlogo"
"1DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:08:49:746 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10200","0","0"
"[run number]","initial-density","wrap?","lambda","[step]","count patches with [living?] / count patches"
"2","5","true","50","151","0.016665032839917656"
"2","5","true","50","152","0.01637094402509558"
"2","5","true","50","153","0.015782766395451425"
"2","5","true","50","154","0.017939417704146653"
"2","5","true","50","155","0.01646897363003627"
"2","5","true","50","156","0.016763062444858347"
"2","5","true","50","157","0.017645328889324578"
"2","5","true","50","158","0.018037447309087344"
"2","5","true","50","159","0.017253210469561808"
"2","5","true","50","160","0.018037447309087344"
"2","5","true","50","161","0.01646897363003627"
"2","5","true","50","162","0.01774335849426527"
"2","5","true","50","163","0.017155180864621117"
"2","5","true","50","164","0.018037447309087344"
"2","5","true","50","165","0.017449269679443193"
"2","5","true","50","166","0.01833153612390942"
"2","5","true","50","167","0.018135476914028035"
"2","5","true","50","168","0.019409861778257032"
"2","5","true","50","169","0.017449269679443193"
"2","5","true","50","170","0.017057151259680423"
"2","5","true","50","171","0.0160768552102735"
"2","5","true","50","172","0.014900499950985198"
"2","5","true","50","173","0.014704440741103813"
"2","5","true","50","174","0.01460641113616312"
"2","5","true","50","175","0.013528085481815508"
"2","5","true","50","176","0.013233996666993432"
"2","5","true","50","177","0.013528085481815508"
"2","5","true","50","178","0.014900499950985198"
"2","5","true","50","179","0.012743848642289972"
"2","5","true","50","180","0.014214292716400352"
"2","5","true","50","181","0.013332026271934125"
"2","5","true","50","182","0.014312322321341045"
"2","5","true","50","183","0.012547789432408587"
"2","5","true","50","184","0.01313596706205274"
"2","5","true","50","185","0.013430055876874816"
"2","5","true","50","186","0.014410351926281737"
"2","5","true","50","187","0.01499852955592589"
"2","5","true","50","188","0.013724144691696893"
"2","5","true","50","189","0.01460641113616312"
"2","5","true","50","190","0.014214292716400352"
"2","5","true","50","191","0.014410351926281737"
"2","5","true","50","192","0.01548867758062935"
"2","5","true","50","193","0.013430055876874816"
"2","5","true","50","194","0.0136261150867562"
"2","5","true","50","195","0.012645819037349279"
"2","5","true","50","196","0.012645819037349279"
"2","5","true","50","197","0.012547789432408587"
"2","5","true","50","198","0.013332026271934125"
"2","5","true","50","199","0.013528085481815508"
"2","5","true","50","200","0.012939907852171357"
"3","5","true","50","0","0.05352416429761788"
"3","5","true","50","1","0.00892069404960298"
"3","5","true","50","2","0.004019213802568375"
"3","5","true","50","3","0.003234976963042839"
"3","5","true","50","4","0.0029408881482207625"
"3","5","true","50","5","0.0026467993333986863"
"3","5","true","50","6","0.002450740123517302"
"3","5","true","50","7","0.002450740123517302"
"3","5","true","50","8","0.002450740123517302"
"3","5","true","50","9","0.002450740123517302"
"3","5","true","50","10","0.002450740123517302"
"3","5","true","50","11","0.002450740123517302"
"3","5","true","50","12","0.002450740123517302"
"3","5","true","50","13","0.002450740123517302"
"3","5","true","50","14","0.002450740123517302"
"3","5","true","50","15","0.002450740123517302"
"3","5","true","50","16","0.002450740123517302"
"3","5","true","50","17","0.002450740123517302"
"3","5","true","50","18","0.002450740123517302"
"3","5","true","50","19","0.002450740123517302"
"3","5","true","50","20","0.002450740123517302"
"3","5","true","50","21","0.002450740123517302"
"3","5","true","50","22","0.002450740123517302"
"3","5","true","50","23","0.002450740123517302"
"3","5","true","50","24","0.002450740123517302"
"3","5","true","50","25","0.002450740123517302"
"3","5","true","50","26","0.002450740123517302"
"3","5","true","50","27","0.002450740123517302"
"3","5","true","50","28","0.002450740123517302"
"3","5","true","50","29","0.002450740123517302"
"3","5","true","50","30","0.002450740123517302"
"3","5","true","50","31","0.002450740123517302"
"3","5","true","50","32","0.002450740123517302"
"3","5","true","50","33","0.002450740123517302"
"3","5","true","50","34","0.002450740123517302"
"3","5","true","50","35","0.002450740123517302"
"3","5","true","50","36","0.002450740123517302"
"3","5","true","50","37","0.002450740123517302"
"3","5","true","50","38","0.002450740123517302"
"3","5","true","50","39","0.002450740123517302"
"3","5","true","50","40","0.002450740123517302"
"3","5","true","50","41","0.002450740123517302"
"3","5","true","50","42","0.002450740123517302"
"3","5","true","50","43","0.002450740123517302"
"3","5","true","50","44","0.002450740123517302"
"3","5","true","50","45","0.002450740123517302"
"3","5","true","50","46","0.002450740123517302"
"3","5","true","50","47","0.002450740123517302"
"3","5","true","50","48","0.002450740123517302"
"3","5","true","50","49","0.002450740123517302"
"3","5","true","50","50","0.002450740123517302"
"3","5","true","50","51","0.002450740123517302"
"3","5","true","50","52","0.002450740123517302"
"3","5","true","50","53","0.002450740123517302"
"3","5","true","50","54","0.002450740123517302"
"3","5","true","50","55","0.002450740123517302"
"3","5","true","50","56","0.002450740123517302"
"3","5","true","50","57","0.002450740123517302"
"3","5","true","50","58","0.002450740123517302"
"3","5","true","50","59","0.002450740123517302"
"3","5","true","50","60","0.002450740123517302"
"3","5","true","50","61","0.002450740123517302"
"3","5","true","50","62","0.002450740123517302"
"3","5","true","50","63","0.002450740123517302"
"3","5","true","50","64","0.002450740123517302"
"3","5","true","50","65","0.002450740123517302"
"3","5","true","50","66","0.002450740123517302"
"3","5","true","50","67","0.002450740123517302"
"3","5","true","50","68","0.002450740123517302"
"3","5","true","50","69","0.002450740123517302"
"3","5","true","50","70","0.002450740123517302"
"3","5","true","50","71","0.002450740123517302"
"3","5","true","50","72","0.002450740123517302"
"3","5","true","50","73","0.002450740123517302"
"3","5","true","50","74","0.002450740123517302"
"3","5","true","50","75","0.002450740123517302"
"3","5","true","50","76","0.002450740123517302"
"3","5","true","50","77","0.002450740123517302"
"3","5","true","50","78","0.002450740123517302"
"3","5","true","50","79","0.002450740123517302"
"3","5","true","50","80","0.002450740123517302"
"3","5","true","50","81","0.002450740123517302"
"3","5","true","50","82","0.002450740123517302"
"3","5","true","50","83","0.002450740123517302"
"3","5","true","50","84","0.002450740123517302"
"3","5","true","50","85","0.002450740123517302"
"3","5","true","50","86","0.002450740123517302"
"3","5","true","50","87","0.002450740123517302"
"3","5","true","50","88","0.002450740123517302"
"3","5","true","50","89","0.002450740123517302"
"3","5","true","50","90","0.002450740123517302"
"3","5","true","50","91","0.002450740123517302"
"3","5","true","50","92","0.002450740123517302"
"3","5","true","50","93","0.002450740123517302"
"3","5","true","50","94","0.002450740123517302"
"3","5","true","50","95","0.002450740123517302"
"3","5","true","50","96","0.002450740123517302"
"3","5","true","50","97","0.002450740123517302"
"3","5","true","50","98","0.002450740123517302"
"3","5","true","50","99","0.002450740123517302"
"3","5","true","50","100","0.002450740123517302"
"3","5","true","50","101","0.002450740123517302"
"3","5","true","50","102","0.002450740123517302"
"3","5","true","50","103","0.002450740123517302"
"3","5","true","50","104","0.002450740123517302"
"3","5","true","50","105","0.002450740123517302"
"3","5","true","50","106","0.002450740123517302"
"3","5","true","50","107","0.002450740123517302"
"3","5","true","50","108","0.002450740123517302"
"3","5","true","50","109","0.002450740123517302"
"3","5","true","50","110","0.002450740123517302"
"3","5","true","50","111","0.002450740123517302"
"3","5","true","50","112","0.002450740123517302"
"3","5","true","50","113","0.002450740123517302"
"3","5","true","50","114","0.002450740123517302"
"3","5","true","50","115","0.002450740123517302"
