"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"4","5","true","false","30","0.012208016918196674"
"2","5","true","false","23","0.009804863981543786"
"3","5","true","false","24","0.003845044698644622"
"1","5","true","false","32","0.0063443237527636255"
"5","5","true","false","33","0.004902431990771893"
"5","5","true","false","34","0.004998558108238008"
"6","5","true","false","38","0.004037296933576853"
"5","5","true","false","35","0.005190810343170239"
"6","5","true","false","39","0.004037296933576853"
"6","5","true","false","40","0.004037296933576853"
"6","5","true","false","41","0.004037296933576853"
"2","5","true","false","24","0.009420359511679324"
"4","5","true","false","31","0.012688647505527251"
"1","5","true","false","33","0.006824954340094204"
"3","5","true","false","25","0.003845044698644622"
"6","5","true","false","42","0.004037296933576853"
"6","5","true","false","43","0.004037296933576853"
"2","5","true","false","25","0.008747476689416514"
"1","5","true","false","34","0.006824954340094204"
"3","5","true","false","26","0.003845044698644622"
"4","5","true","false","32","0.012400269153128906"
"6","5","true","false","44","0.004037296933576853"
"3","5","true","false","27","0.003845044698644622"
"4","5","true","false","33","0.013746034797654523"
"1","5","true","false","35","0.007497837162357013"
"6","5","true","false","45","0.004037296933576853"
"2","5","true","false","26","0.008747476689416514"
"6","5","true","false","46","0.004037296933576853"
"3","5","true","false","28","0.003845044698644622"
"2","5","true","false","27","0.009708737864077669"
"1","5","true","false","36","0.007017206575026435"
"4","5","true","false","34","0.013938287032586753"
"5","5","true","false","36","0.0052869364606363545"
"6","5","true","false","47","0.004037296933576853"
"3","5","true","false","29","0.003845044698644622"
"4","5","true","false","35","0.013746034797654523"
"1","5","true","false","37","0.006536575987695857"
"2","5","true","false","28","0.008555224454484284"
"3","5","true","false","30","0.003845044698644622"
"6","5","true","false","48","0.004037296933576853"
"5","5","true","false","37","0.005479188695568586"
"4","5","true","false","36","0.012592521388061136"
"3","5","true","false","31","0.003845044698644622"
"2","5","true","false","29","0.008170719984619821"
"1","5","true","false","38","0.007017206575026435"
"5","5","true","false","38","0.004902431990771893"
"6","5","true","false","49","0.004037296933576853"
"4","5","true","false","37","0.01403441315005287"
"3","5","true","false","32","0.003845044698644622"
"2","5","true","false","30","0.008939728924348746"
"1","5","true","false","39","0.006728828222628088"
"6","5","true","false","50","0.004037296933576853"
"5","5","true","false","39","0.004902431990771893"
"3","5","true","false","33","0.003845044698644622"
"4","5","true","false","38","0.012304143035662789"
"2","5","true","false","31","0.008266846102085936"
"1","5","true","false","40","0.007017206575026435"
"6","5","true","false","51","0.004037296933576853"
"3","5","true","false","34","0.003845044698644622"
"5","5","true","false","40","0.005094684225704124"
"4","5","true","false","39","0.013938287032586753"
"1","5","true","false","41","0.007209458809958665"
"3","5","true","false","35","0.003845044698644622"
"5","5","true","false","41","0.0053830625781024705"
"4","5","true","false","40","0.011919638565798328"
"1","5","true","false","42","0.006921080457560319"
"6","5","true","false","52","0.004037296933576853"
"2","5","true","false","32","0.0073055849274247815"
"5","5","true","false","42","0.004421801403441315"
"4","5","true","false","41","0.01336153032779006"
"3","5","true","false","36","0.003845044698644622"
"1","5","true","false","43","0.006728828222628088"
"6","5","true","false","53","0.004037296933576853"
"5","5","true","false","43","0.004229549168509084"
"2","5","true","false","33","0.008170719984619821"
"4","5","true","false","42","0.014515043737383448"
"3","5","true","false","37","0.003845044698644622"
